TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER
47,29,Male,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,4.000000,?,33,NO ACTIVITY SINCE SEP
27,60,Female,Malaysia,N SEMBILAN,Active,Active,N,?,N,N,?,?,0.000615,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
181,54,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.8833,0.0000,Y,N,10.00,?,?,?,0.850000,?,0,BEFORE & AFTER CAMP
51,32,Female,Malaysia,SABAH,Active,Active,N,?,Y,N,2.00,?,0.555319,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
29,22,Female,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.804914,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
42,30,Male,Malaysia,SABAH,Active,Active,N,?,Y,Y,1.50,10.00,1.315041,1.688172,0.0000,0.0000,Y,Y,5.00,5.00,?,?,?,10.000000,0,DURING & AFTER CAMP
26,25,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000198,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
25,24,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,Y,45.00,1.00,35.610532,64.012952,16.4167,77.7500,Y,N,50.00,?,3.90,0.70,?,1.700000,0,DURING & AFTER CAMP
21,22,Male,Malaysia,KELANTAN,Active,Active,Y,10/6/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,?,?,23,BEFORE CAMP THEN REMAIN
75,57,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.083205,0.000024,0.0000,5.1167,N,N,?,?,?,?,?,2.400000,9,BEFORE & AFTER CAMP
20,70,Male,Malaysia,MALACCA,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000029,0.000017,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
22,24,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,8.278478,0.000000,16.8500,0.0000,Y,N,85.00,?,?,?,43.870000,?,37,NO ACTIVITY SINCE SEP
39,29,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000206,0.184808,0.0000,0.0000,N,N,?,?,?,?,?,?,12,BEFORE & AFTER CAMP
56,26,Male,Malaysia,KELANTAN,Active,Active,N,?,N,Y,?,27.99,20.663924,40.060872,309.5500,233.2833,N,Y,?,60.00,?,?,0.500000,55.980000,0,DURING & AFTER CAMP
59,33,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
33,28,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,27.98,?,1.464862,0.000000,202.5000,0.0000,N,Y,?,5.00,?,?,39.980000,6.000000,9,DURING & AFTER CAMP
72,66,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,N,N,?,?,0.000000,0.000000,1.1167,1.3666,N,N,?,?,?,?,68.390000,0.520000,7,DURING & AFTER CAMP
20,25,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000105,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
69,36,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.530066,0.000000,0.0500,0.0000,N,N,?,?,?,?,0.300000,?,36,NO ACTIVITY SINCE SEP
47,22,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,2.540316,9.430508,0.0000,0.0000,Y,Y,5.00,20.00,?,?,?,10.100000,0,DURING & AFTER CAMP
30,70,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,0.015170,26.570450,0.0000,0.0833,N,Y,?,5.00,?,?,?,4.930000,0,DURING & AFTER CAMP
23,70,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,10.00,9.160062,106.167797,3.7000,1.6166,Y,Y,25.00,115.00,5.00,2.50,19.500000,127.570000,0,DURING & AFTER CAMP
19,26,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,21.603641,0.000000,0.0000,0.0000,Y,N,30.00,?,?,?,17.600000,?,39,NO ACTIVITY SINCE SEP
35,28,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,Y,N,30.00,?,?,?,6.000000,?,24,BEFORE CAMP THEN REMAIN
18,73,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000047,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP
15,32,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,Y,N,395.00,?,400.00,400.00,400.000000,400.000000,17,DURING & AFTER CAMP
36,80,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.001633,0.0000,16.8167,Y,Y,5.00,20.00,?,?,4.000000,10.900000,2,DURING & AFTER CAMP
20,25,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000011,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP
33,35,Male,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
25,23,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.170861,0.067737,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
42,24,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
23,38,Male,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP
70,26,Female,Malaysia,PAHANG,Active,Active,N,?,Y,N,4.00,?,0.766262,0.000000,0.0000,0.0000,N,N,?,?,?,?,5.000000,?,33,NO ACTIVITY SINCE SEP
22,36,Male,Malaysia,SABAH,Active,Active,N,?,Y,N,2.00,?,4.051580,0.000000,2.7000,0.0000,Y,N,10.00,?,?,?,8.600000,?,33,NO ACTIVITY SINCE SEP
