TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,DATE_ID,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER,ID,PLAN_ID,PLAN_TYPE,VAS_ID,VAS_TYPE,YEAR,MONTH,DAY,QUARTER
39,29,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000206,0.184808,0.0,0.0,N,N,?,?,?,?,?,?,12,BEFORE & AFTER CAMP,67,2,Premium,2,Roaming,2022,10,6,4
59,33,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,69,1,Saver,1,Caller_tune,2022,10,5,4
33,28,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,27.98,?,1.464862,0.0,202.5,0.0,N,Y,?,5.00,?,?,39.980000,6.000000,9,DURING & AFTER CAMP,70,2,Premium,1,Caller_tune,2022,10,6,4
72,66,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,N,N,?,?,0.0,0.0,1.1167,1.3666,N,N,?,?,?,?,68.390000,0.520000,7,DURING & AFTER CAMP,71,2,Premium,2,Roaming,2022,10,5,4
20,25,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000105,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,72,1,Saver,2,Roaming,2022,10,6,4
69,36,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.530066,0.0,0.05,0.0,N,N,?,?,?,?,0.300000,?,36,NO ACTIVITY SINCE SEP,73,1,Saver,1,Caller_tune,2022,10,5,4
47,22,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,2.540316,9.430508,0.0,0.0,Y,Y,5.00,20.00,?,?,?,10.100000,0,DURING & AFTER CAMP,74,2,Premium,2,Roaming,2022,10,5,4
30,70,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,Y,15.00,4.00,0.01517,26.57045,0.0,0.0833,N,Y,?,5.00,?,?,?,4.930000,0,DURING & AFTER CAMP,75,2,Premium,1,Caller_tune,2022,10,5,4
23,70,Male,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,10.00,9.160062,106.167797,3.7,1.6166,Y,Y,25.00,115.00,5.00,2.50,19.500000,127.570000,0,DURING & AFTER CAMP,76,2,Premium,1,Caller_tune,2022,10,5,4
19,26,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,21.603641,0.0,0.0,0.0,Y,N,30.00,?,?,?,17.600000,?,39,NO ACTIVITY SINCE SEP,77,1,Saver,2,Roaming,2022,10,5,4
35,28,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,N,N,?,?,0.0,0.0,0.0,0.0,Y,N,30.00,?,?,?,6.000000,?,24,BEFORE CAMP THEN REMAIN,78,2,Premium,2,Roaming,2022,10,6,4
18,73,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,4.7e-05,0.0,0.0,0.0,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP,79,2,Premium,1,Caller_tune,2022,10,5,4
15,0,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,N,N,?,?,0.0,0.0,0.0,0.0,Y,N,395.00,?,400.00,400.00,400.000000,400.000000,17,DURING & AFTER CAMP,80,2,Premium,2,Roaming,2022,10,6,4
36,80,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.001633,0.0,16.8167,Y,Y,5.00,20.00,?,?,4.000000,10.900000,2,DURING & AFTER CAMP,81,1,Saver,2,Roaming,2022,10,5,4
20,25,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.1e-05,0.0,0.0,0.0,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP,82,2,Premium,2,Roaming,2022,10,6,4
25,23,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.170861,0.067737,0.0,0.0,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP,84,2,Premium,2,Roaming,2022,10,5,4
19,0,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,2e-06,0.0,0.0,0.0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,90,1,Saver,1,Caller_tune,2022,10,6,4
123,38,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP,92,1,Saver,1,Caller_tune,2022,10,6,4
35,23,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,7.032007,0.0,0.0,0.0,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP,93,1,Saver,2,Roaming,2022,10,6,4
27,22,Female,Malaysia,KEDAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.7e-05,0.0,0.0,0.0,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP,94,2,Premium,1,Caller_tune,2022,10,6,4
54,25,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,8.00,?,23.647617,0.0,11.9166,0.0,Y,N,50.00,?,?,?,43.500000,?,37,NO ACTIVITY SINCE SEP,95,2,Premium,1,Caller_tune,2022,10,6,4
43,43,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.719432,0.0,0.4,0.0,N,N,?,?,?,?,0.120000,?,37,NO ACTIVITY SINCE SEP,96,2,Premium,2,Roaming,2022,10,6,4
25,23,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.00,0.098228,4e-06,0.0,0.0,N,N,?,?,?,?,2.000000,1.000000,1,BEFORE & AFTER CAMP,97,1,Saver,2,Roaming,2022,10,6,4
39,32,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,45.00,?,1.056761,0.0,0.0,0.0,Y,N,40.00,?,?,?,?,?,39,NO ACTIVITY SINCE SEP,98,2,Premium,1,Caller_tune,2022,10,5,4
78,21,Female,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,14.99,0.036803,15.303912,0.0,2.1333,N,Y,?,15.00,?,?,?,20.900000,0,BEFORE & AFTER CAMP,102,1,Saver,2,Roaming,2022,10,5,4
209,59,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,2.2333,N,N,?,?,?,?,?,0.900000,0,BEFORE & AFTER CAMP,104,1,Saver,1,Caller_tune,2022,10,6,4
37,36,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.514187,0.416586,0.0,0.0167,N,N,?,?,?,?,?,0.010000,1,DURING & AFTER CAMP,105,2,Premium,2,Roaming,2022,10,5,4
113,24,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,Y,?,5.00,?,?,?,?,1,DURING & AFTER CAMP,106,1,Saver,2,Roaming,2022,10,5,4
16,36,Male,Malaysia,PERLIS,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,1.681042,0.6167,2.7833,Y,N,5.00,?,?,?,1.000000,1.000000,0,BEFORE & AFTER CAMP,109,1,Saver,2,Roaming,2022,10,5,4
15,71,Female,Malaysia,PAHANG,Active,Active,Y,10/5/2022,Y,N,15.00,?,6.058599,0.354663,0.0333,0.0,N,N,?,?,?,?,0.200000,?,0,BEFORE & AFTER CAMP,110,1,Saver,1,Caller_tune,2022,10,5,4
39,22,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,0.180000,?,2,DURING & AFTER CAMP,111,2,Premium,1,Caller_tune,2022,10,5,4
89,35,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,35.00,?,3.107971,0.0,0.2333,0.0,Y,N,90.00,?,?,?,89.400000,?,35,NO ACTIVITY SINCE SEP,112,1,Saver,1,Caller_tune,2022,10,5,4
54,27,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.257728,0.470117,2.3,19.6167,Y,Y,5.00,5.00,?,?,2.100000,7.800000,7,BEFORE & AFTER CAMP,113,2,Premium,1,Caller_tune,2022,10,5,4
24,28,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP,114,2,Premium,2,Roaming,2022,10,6,4
83,25,Unspecified,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,2.2e-05,2.946987,0.0,0.0,N,Y,?,10.00,3.90,?,3.900000,?,1,BEFORE & AFTER CAMP,115,1,Saver,2,Roaming,2022,10,6,4
25,29,Female,Malaysia,KEDAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.50,6.337295,8.806281,0.0,0.0,Y,Y,5.00,5.00,?,?,3.030000,6.050000,2,DURING & AFTER CAMP,116,1,Saver,1,Caller_tune,2022,10,6,4
98,32,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000448,0.0,0.0,0.0,Y,N,5.00,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,118,1,Saver,1,Caller_tune,2022,10,6,4
20,59,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,26.81822,0.0,7.5,0.0,Y,N,45.00,?,?,?,31.050000,?,34,NO ACTIVITY SINCE SEP,119,2,Premium,1,Caller_tune,2022,10,6,4
